
> moonstone-frontend@0.1.0 dev
> vite

[33mThe CJS build of Vite's Node API is deprecated. See https://vitejs.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m

  VITE v5.1.0  ready in 231 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: use --host to expose
3:05:40 PM [vite] hmr update /src/UlfPanel.tsx
3:06:01 PM [vite] hmr update /src/UlfPanel.tsx
3:06:12 PM [vite] ✨ new dependencies optimized: three/examples/jsm/controls/OrbitControls, three/examples/jsm/controls/TransformControls
3:06:12 PM [vite] ✨ optimized dependencies changed. reloading
3:16:10 PM [vite] hmr update /@fs/home/lemma137/dev/StarDust/frontend/src/components/InspectorBase.tsx
3:16:10 PM [vite] hmr update /@fs/home/lemma137/dev/StarDust/frontend/src/components/PanelBase.tsx
3:16:23 PM [vite] hmr update /src/UlfPanel.tsx
3:16:31 PM [vite] hmr update /src/UlfPanel.tsx
3:18:00 PM [vite] hmr update /src/UlfPanel.tsx
3:18:15 PM [vite] hmr update /src/UlfPanel.tsx
3:37:07 PM [vite] hmr update /src/UlfPanel.tsx
3:38:46 PM [vite] hmr update /src/UlfPanel.tsx
3:39:44 PM [vite] hmr update /src/UlfPanel.tsx
3:40:28 PM [vite] hmr update /src/UlfPanel.tsx
3:46:43 PM [vite] hmr update /src/UlfPanel.tsx
3:46:43 PM [vite] hmr update /@fs/home/lemma137/dev/StarDust/frontend/src/components/InspectorBase.tsx
3:46:43 PM [vite] hmr update /@fs/home/lemma137/dev/StarDust/frontend/src/components/PanelBase.tsx
6:35:27 PM [vite] hmr update /src/UlfPanel.tsx
6:35:35 PM [vite] hmr update /src/UlfPanel.tsx
6:35:44 PM [vite] hmr update /src/UlfPanel.tsx
6:36:28 PM [vite] hmr update /src/UlfPanel.tsx
6:36:58 PM [vite] hmr update /src/UlfPanel.tsx
6:38:20 PM [vite] hmr update /src/UlfPanel.tsx
6:39:59 PM [vite] hmr update /src/UlfPanel.tsx
6:40:42 PM [vite] hmr update /src/UlfPanel.tsx
6:41:34 PM [vite] hmr update /src/UlfPanel.tsx
6:43:36 PM [vite] hmr update /src/UlfPanel.tsx
6:44:20 PM [vite] hmr update /src/UlfPanel.tsx
6:44:35 PM [vite] hmr update /src/UlfPanel.tsx
6:44:45 PM [vite] hmr update /src/UlfPanel.tsx
6:44:52 PM [vite] hmr update /src/UlfPanel.tsx
6:45:19 PM [vite] hmr update /src/UlfPanel.tsx
6:45:34 PM [vite] hmr update /src/UlfPanel.tsx
6:46:00 PM [vite] hmr update /src/UlfPanel.tsx
6:46:08 PM [vite] hmr update /src/UlfPanel.tsx
6:46:15 PM [vite] hmr update /src/UlfPanel.tsx
6:46:29 PM [vite] hmr update /src/RunPanel.tsx
6:47:05 PM [vite] hmr update /src/UlfPanel.tsx
6:47:26 PM [vite] hmr update /src/UlfPanel.tsx
6:47:51 PM [vite] hmr update /src/UlfPanel.tsx
6:48:09 PM [vite] hmr update /src/UlfPanel.tsx
7:01:25 PM [vite] hmr update /src/RunPanel.tsx
7:01:53 PM [vite] hmr update /src/App.tsx
7:03:20 PM [vite] hmr update /@fs/home/lemma137/dev/StarDust/frontend/src/components/RunPanelBase.tsx
7:03:46 PM [vite] hmr update /src/App.tsx
8:40:25 PM [vite] hmr update /src/RunPanel.tsx
8:40:25 PM [vite] hmr update /src/RunPanel.tsx
8:40:25 PM [vite] hmr update /src/App.tsx
8:40:25 PM [vite] hmr update /src/UlfPanel.tsx
8:40:25 PM [vite] hmr update /@fs/home/lemma137/dev/StarDust/frontend/src/components/RunPanelBase.tsx
